nohup: ignoring input
--- THE SOVEREIGN (METABOLIC REGULATOR) ONLINE ---
[16:42:23][SOVEREIGN] Balance: 96.54 MISO | Status: SOLVENT
[16:42:33][SOVEREIGN] Balance: 96.49 MISO | Status: SOLVENT
[16:42:41][SOVEREIGN] Balance: 96.45 MISO | Status: SOLVENT
[16:42:57][SOVEREIGN] Balance: 96.37 MISO | Status: SOLVENT
[16:43:03][SOVEREIGN] Balance: 96.34 MISO | Status: SOLVENT
[16:43:05][SOVEREIGN] Balance: 96.33 MISO | Status: SOLVENT
[16:43:09][SOVEREIGN] Balance: 96.31 MISO | Status: SOLVENT
[16:43:11][SOVEREIGN] Balance: 96.3 MISO | Status: SOLVENT
[16:43:15][SOVEREIGN] Balance: 96.28 MISO | Status: SOLVENT
[16:43:19][SOVEREIGN] Balance: 96.26 MISO | Status: SOLVENT
[16:43:21][SOVEREIGN] Balance: 96.25 MISO | Status: SOLVENT
[16:43:33][SOVEREIGN] Balance: 96.19 MISO | Status: SOLVENT
[16:43:37][SOVEREIGN] Balance: 96.17 MISO | Status: SOLVENT
[16:43:43][SOVEREIGN] Balance: 96.14 MISO | Status: SOLVENT
[16:43:47][SOVEREIGN] Balance: 96.12 MISO | Status: SOLVENT
[16:43:55][SOVEREIGN] Balance: 96.08 MISO | Status: SOLVENT
[16:44:17][SOVEREIGN] Balance: 95.97 MISO | Status: SOLVENT
[16:44:21][SOVEREIGN] Balance: 95.95 MISO | Status: SOLVENT
[16:44:25][SOVEREIGN] Balance: 95.93 MISO | Status: SOLVENT
[16:45:23][SOVEREIGN] Balance: 95.64 MISO | Status: SOLVENT
[16:45:25][SOVEREIGN] Balance: 95.63 MISO | Status: SOLVENT
[16:45:33][SOVEREIGN] Balance: 95.59 MISO | Status: SOLVENT
[16:45:47][SOVEREIGN] Balance: 95.52 MISO | Status: SOLVENT
[16:45:53][SOVEREIGN] Balance: 95.49 MISO | Status: SOLVENT
[16:46:01][SOVEREIGN] Balance: 95.45 MISO | Status: SOLVENT
[16:46:07][SOVEREIGN] Balance: 95.42 MISO | Status: SOLVENT
[16:46:09][SOVEREIGN] Balance: 95.41 MISO | Status: SOLVENT
[16:46:19][SOVEREIGN] Balance: 95.36 MISO | Status: SOLVENT
[16:46:33][SOVEREIGN] Balance: 95.29 MISO | Status: SOLVENT
[16:46:37][SOVEREIGN] Balance: 95.27 MISO | Status: SOLVENT
[16:46:57][SOVEREIGN] Balance: 95.17 MISO | Status: SOLVENT
[16:47:05][SOVEREIGN] Balance: 95.13 MISO | Status: SOLVENT
[16:47:09][SOVEREIGN] Balance: 95.11 MISO | Status: SOLVENT
[16:47:17][SOVEREIGN] Balance: 95.07 MISO | Status: SOLVENT
[16:47:21][SOVEREIGN] Balance: 95.05 MISO | Status: SOLVENT
[16:47:31][SOVEREIGN] Balance: 95.0 MISO | Status: SOLVENT
[16:47:35][SOVEREIGN] Balance: 94.98 MISO | Status: SOLVENT
[16:47:43][SOVEREIGN] Balance: 94.94 MISO | Status: SOLVENT
[16:47:45][SOVEREIGN] Balance: 94.93 MISO | Status: SOLVENT
[16:47:53][SOVEREIGN] Balance: 94.89 MISO | Status: SOLVENT
[16:48:19][SOVEREIGN] Balance: 209.76 MISO | Status: SOLVENT
[16:48:21][SOVEREIGN] Balance: 209.75 MISO | Status: SOLVENT
[16:48:33][SOVEREIGN] Balance: 209.69 MISO | Status: SOLVENT
[16:48:35][SOVEREIGN] Balance: 209.68 MISO | Status: SOLVENT
[16:48:39][SOVEREIGN] Balance: 209.66 MISO | Status: SOLVENT
[16:48:45][SOVEREIGN] Balance: 209.63 MISO | Status: SOLVENT
[16:48:55][SOVEREIGN] Balance: 209.58 MISO | Status: SOLVENT
[16:48:59][SOVEREIGN] Balance: 209.56 MISO | Status: SOLVENT
[16:49:17][SOVEREIGN] Balance: 209.47 MISO | Status: SOLVENT
[16:49:23][SOVEREIGN] Balance: 209.44 MISO | Status: SOLVENT
[16:49:27][SOVEREIGN] Balance: 209.42 MISO | Status: SOLVENT
[16:49:33][SOVEREIGN] Balance: 209.39 MISO | Status: SOLVENT
[16:49:43][SOVEREIGN] Balance: 209.34 MISO | Status: SOLVENT
[16:49:45][SOVEREIGN] Balance: 209.33 MISO | Status: SOLVENT
[16:49:47][SOVEREIGN] Balance: 209.32 MISO | Status: SOLVENT
[16:49:51][SOVEREIGN] Balance: 209.3 MISO | Status: SOLVENT
[16:50:01][SOVEREIGN] Balance: 209.25 MISO | Status: SOLVENT
[16:50:13][SOVEREIGN] Balance: 209.19 MISO | Status: SOLVENT
[16:50:33][SOVEREIGN] Balance: 209.09 MISO | Status: SOLVENT
[16:50:39][SOVEREIGN] Balance: 209.06 MISO | Status: SOLVENT
[16:50:49][SOVEREIGN] Balance: 209.01 MISO | Status: SOLVENT
[16:50:51][SOVEREIGN] Balance: 209.0 MISO | Status: SOLVENT
[16:50:55][SOVEREIGN] Balance: 208.98 MISO | Status: SOLVENT
